node,smoking,COPD,asthma,season,common cold,hay fever,pneumonia,dysp,cough,pain,fever,nasal,policy,antibiotics,self-employed,# days at home
smoking,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
COPD,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
asthma,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
season,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
common cold,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
hay fever,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
pneumonia,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
dysp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cough,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
pain,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fever,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
nasal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
policy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antibiotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
self-employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
# days at home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
